,,Hokuriku,,,,,,,,,,,,,,JEPX Day-Ahead Market Price
,,Nuclear,Thermal,Hydropower,Geothermal,Biomass,SolarPV,Wind,Pumped hydro(pump up),Pumped hydro(generate),Import,Export,SolarPV(curtailment),Wind(curtailment),Demand,Hokuriku
2023/01/05,23:00,0,3093,404,0,115,0,6,0,0,0,-64,0,0,3553,20.37
2023/01/06,00:00,0,2960,397,0,114,0,8,0,0,0,-1,0,0,3478,21.63
2023/01/06,01:00,0,2968,404,0,115,0,5,0,0,80,0,0,0,3572,19.64
2023/01/06,02:00,0,3005,446,0,115,0,4,0,0,126,0,0,0,3696,19.39
2023/01/06,03:00,0,3052,476,0,115,0,5,0,0,139,0,0,0,3787,21.05
2023/01/06,04:00,0,3043,472,0,115,0,6,0,0,114,0,0,0,3749,21.27
2023/01/06,05:00,0,3228,476,0,115,0,5,0,0,0,-105,0,0,3719,21.27
2023/01/06,06:00,0,3363,482,0,114,0,3,0,0,0,-169,0,0,3793,21.14
2023/01/06,07:00,0,3375,726,0,115,13,5,0,3,0,-329,0,0,3907,24.13
2023/01/06,08:00,0,3403,696,0,115,94,2,0,99,0,-182,0,0,4226,24.93
2023/01/06,09:00,0,3269,592,0,113,276,3,0,0,43,0,0,0,4296,22.76
2023/01/06,10:00,0,2694,482,0,115,431,1,0,0,410,0,0,0,4132,22.29
2023/01/06,11:00,0,2632,478,0,115,425,0,0,0,419,0,0,0,4069,19.62
2023/01/06,12:00,0,2542,378,0,115,395,0,0,0,429,0,0,0,3858,16.42
2023/01/06,13:00,0,2793,392,0,114,343,1,0,0,294,0,0,0,3936,21.58
2023/01/06,14:00,0,2926,431,0,115,285,0,0,0,164,0,0,0,3921,22.56
2023/01/06,15:00,0,3288,569,0,115,135,0,0,0,0,-214,0,0,3894,23.01
2023/01/06,16:00,0,3455,609,0,115,25,0,0,71,0,-291,0,0,3983,25.35
2023/01/06,17:00,0,3512,786,0,114,0,2,0,100,0,-524,0,0,3989,26.17
2023/01/06,18:00,0,3469,902,0,114,0,4,0,99,0,-640,0,0,3948,26
2023/01/06,19:00,0,3451,776,0,113,0,5,0,99,0,-631,0,0,3813,25.36
2023/01/06,20:00,0,3411,644,0,112,0,5,0,34,0,-500,0,0,3706,23.77
2023/01/06,21:00,0,3410,431,0,112,0,6,0,0,0,-375,0,0,3585,23.32
2023/01/06,22:00,0,3320,415,0,113,0,13,0,0,0,-347,0,0,3513,21.9
2023/01/06,23:00,0,3194,404,0,112,0,15,0,0,0,-237,0,0,3489,17.82
2023/01/07,00:00,0,3100,380,0,112,0,17,0,0,0,-235,0,0,3374,21.8
2023/01/07,01:00,0,3112,362,0,113,0,29,0,0,0,-170,0,0,3445,20.5
2023/01/07,02:00,0,3193,442,0,113,0,30,0,0,0,-193,0,0,3584,21.09
2023/01/07,03:00,0,3245,511,0,114,0,39,0,0,0,-247,0,0,3662,20.65
2023/01/07,04:00,0,3176,513,0,113,0,44,0,0,0,-254,0,0,3593,21.09
2023/01/07,05:00,0,3172,420,0,113,0,31,0,0,0,-275,0,0,3461,19.97
2023/01/07,06:00,0,3165,440,0,114,0,36,0,0,0,-391,0,0,3364,19.91
2023/01/07,07:00,0,3250,653,0,111,12,23,0,0,0,-671,0,0,3377,22.66
2023/01/07,08:00,0,3277,636,0,112,76,20,0,0,0,-510,0,0,3611,22.52
2023/01/07,09:00,0,3234,480,0,112,202,14,0,0,0,-298,0,0,3744,22.2
2023/01/07,10:00,0,3088,381,0,112,233,15,0,0,0,-157,0,0,3671,20.53
2023/01/07,11:00,0,2824,425,0,112,310,16,0,0,0,-98,0,0,3590,20.57
2023/01/07,12:00,0,2745,345,0,112,323,8,0,0,0,-100,0,0,3434,18.18
2023/01/07,13:00,0,2828,364,0,112,221,5,0,0,0,-77,0,0,3454,19.81
2023/01/07,14:00,0,2921,486,0,112,125,3,0,0,0,-201,0,0,3446,20.9
2023/01/07,15:00,0,2966,491,0,112,65,6,0,0,0,-182,0,0,3458,19.73
2023/01/07,16:00,0,3200,538,0,112,11,12,0,3,0,-381,0,0,3493,21.69
2023/01/07,17:00,0,3314,647,0,112,0,9,0,99,0,-605,0,0,3577,23.92
2023/01/07,18:00,0,3295,660,0,113,0,8,0,98,0,-626,0,0,3548,24.15
2023/01/07,19:00,0,3298,596,0,112,0,7,0,0,0,-545,0,0,3467,22.99
2023/01/07,20:00,0,3255,552,0,113,0,4,0,0,0,-548,0,0,3376,23.26
2023/01/07,21:00,0,3221,454,0,112,0,6,0,0,0,-504,0,0,3288,22.62
2023/01/07,22:00,0,3196,385,0,113,0,7,0,0,0,-495,0,0,3205,21.78
2023/01/07,23:00,0,2927,347,0,112,0,6,0,0,0,-191,0,0,3200,19.91
2023/01/08,00:00,0,2980,455,0,113,0,7,0,0,0,-417,0,0,3137,22.38
2023/01/08,01:00,0,3011,488,0,113,0,7,0,0,0,-393,0,0,3225,20.68
2023/01/08,02:00,0,3102,526,0,112,0,7,0,0,0,-355,0,0,3392,20.55
2023/01/08,03:00,0,3092,607,0,113,0,7,0,0,0,-329,0,0,3490,21.09
2023/01/08,04:00,0,3000,572,0,113,0,8,0,0,0,-259,0,0,3433,20
2023/01/08,05:00,0,2949,436,0,112,0,7,0,0,0,-268,0,0,3237,19.78
2023/01/08,06:00,0,2952,411,0,113,0,6,0,0,0,-422,0,0,3060,20.55
2023/01/08,07:00,0,2987,554,0,112,23,6,0,0,0,-711,0,0,2970,21.2
2023/01/08,08:00,0,3021,577,0,112,118,6,0,0,0,-781,0,0,3053,18.79
2023/01/08,09:00,0,2710,415,0,112,277,2,0,0,0,-434,0,0,3082,17.95
2023/01/08,10:00,0,2335,366,0,112,429,0,0,0,0,-250,0,0,2991,9.81
2023/01/08,11:00,0,2220,368,0,111,491,0,0,0,0,-293,0,0,2898,5
2023/01/08,12:00,0,2283,346,0,112,483,0,-116,0,0,-268,0,0,2839,4.65
2023/01/08,13:00,0,2190,346,0,112,469,0,-118,0,0,-219,0,0,2780,0.71
2023/01/08,14:00,0,2266,370,0,112,353,0,-59,0,0,-302,0,0,2740,7.05
2023/01/08,15:00,0,2546,471,0,112,165,1,0,0,0,-512,0,0,2783,18.96
2023/01/08,16:00,0,2706,474,0,112,30,4,0,3,0,-424,0,0,2905,20.86
2023/01/08,17:00,0,2911,596,0,112,0,7,0,100,0,-584,0,0,3142,23.42
2023/01/08,18:00,0,2951,759,0,113,0,6,0,99,0,-733,0,0,3194,22.84
2023/01/08,19:00,0,2942,798,0,112,0,5,0,99,0,-800,0,0,3157,22.41
2023/01/08,20:00,0,2911,668,0,112,0,3,0,9,0,-603,0,0,3100,21.75
2023/01/08,21:00,0,2923,596,0,112,0,9,0,0,0,-623,0,0,3017,21.74
2023/01/08,22:00,0,2915,501,0,112,0,20,0,0,0,-555,0,0,2993,21.49
2023/01/08,23:00,0,2808,399,0,112,0,41,0,0,0,-367,0,0,2992,19.53
2023/01/09,00:00,0,2728,326,0,112,0,54,0,0,0,-289,0,0,2932,20.39
2023/01/09,01:00,0,2830,328,0,112,0,48,0,0,0,-286,0,0,3033,18.01
2023/01/09,02:00,0,2884,425,0,112,0,67,0,0,0,-262,0,0,3225,20.32
2023/01/09,03:00,0,2910,542,0,113,0,68,0,0,0,-260,0,0,3373,21.35
2023/01/09,04:00,0,2881,529,0,112,0,61,0,0,0,-224,0,0,3360,21.5
2023/01/09,05:00,0,3108,498,0,114,0,49,0,0,0,-513,0,0,3255,19.2
2023/01/09,06:00,0,3128,471,0,113,0,67,0,0,0,-647,0,0,3131,20.44
2023/01/09,07:00,0,3130,712,0,112,25,65,0,0,0,-910,0,0,3134,22.88
2023/01/09,08:00,0,3128,529,0,112,128,77,0,0,0,-671,0,0,3302,24.18
2023/01/09,09:00,0,3020,359,0,113,173,70,0,0,0,-245,0,0,3490,21.18
2023/01/09,10:00,0,2689,353,0,113,240,71,0,0,13,0,0,0,3478,18.29
2023/01/09,11:00,0,2673,347,0,113,172,73,0,0,98,0,0,0,3475,13
2023/01/09,12:00,0,2749,341,0,113,129,77,-116,0,103,0,0,0,3395,6.5
2023/01/09,13:00,0,2768,338,0,113,75,78,-59,0,113,0,0,0,3425,13.68
2023/01/09,14:00,0,2820,358,0,113,66,78,0,0,0,-22,0,0,3413,17.58
2023/01/09,15:00,0,3085,383,0,112,32,79,0,0,0,-296,0,0,3395,20.72
2023/01/09,16:00,0,3210,434,0,113,12,65,0,52,0,-402,0,0,3483,22.62
2023/01/09,17:00,0,3254,709,0,113,0,66,0,99,0,-648,0,0,3595,24.15
2023/01/09,18:00,0,3322,857,0,114,0,50,0,99,0,-857,0,0,3585,24.54
2023/01/09,19:00,0,3343,733,0,114,0,58,0,73,0,-822,0,0,3499,24.46
2023/01/09,20:00,0,3316,553,0,115,0,84,0,0,0,-666,0,0,3402,23.54
2023/01/09,21:00,0,3269,463,0,114,0,101,0,0,0,-651,0,0,3295,21.95
2023/01/09,22:00,0,3119,418,0,114,0,109,0,0,0,-538,0,0,3222,21.24
2023/01/09,23:00,0,2846,440,0,114,0,118,0,0,0,-273,0,0,3245,19.66
2023/01/10,00:00,0,2752,436,0,114,0,122,0,0,0,-172,0,0,3252,20.29
2023/01/10,01:00,0,2863,434,0,114,0,122,0,0,0,-142,0,0,3390,20
2023/01/10,02:00,0,2855,522,0,114,0,117,0,0,4,0,0,0,3611,20
2023/01/10,03:00,0,2904,573,0,114,0,112,0,0,42,0,0,0,3746,20
2023/01/10,04:00,0,3009,479,0,114,0,107,0,0,60,0,0,0,3769,19.91
