,,Kansai,,,,,,,,,,,,,,JEPX Day-Ahead Market Price
,,Nuclear,Thermal,Hydropower,Geothermal,Biomass,SolarPV,Wind,Pumped hydro(pump up),Pumped hydro(generate),Import,Export,SolarPV(curtailment),Wind(curtailment),Demand,Kansai
2023/01/07,04:00,4961,6437,391,0,67,0,2,-493,0,3647,0,0,0,15012,21.09
2023/01/07,05:00,4961,6283,389,0,67,0,1,-254,0,3482,0,0,0,14928,19.97
2023/01/07,06:00,4961,6684,403,0,67,0,1,0,77,3408,0,0,0,15601,19.91
2023/01/07,07:00,4960,7462,840,0,67,68,0,0,274,3237,0,0,0,16910,22.66
2023/01/07,08:00,4960,8116,1678,0,67,592,1,0,222,3363,0,0,0,18999,22.52
2023/01/07,09:00,4960,6559,1898,0,67,1541,3,-250,0,4885,0,0,0,19664,22.2
2023/01/07,10:00,4961,5702,1911,0,67,2417,3,-703,0,4794,0,0,0,19151,20.53
2023/01/07,11:00,4961,6084,893,0,67,2421,6,-1110,0,5370,0,0,0,18693,20.57
2023/01/07,12:00,4961,6007,596,0,67,1580,7,-458,0,5369,0,0,0,18130,18.18
2023/01/07,13:00,4960,6036,577,0,67,1114,18,0,240,5387,0,0,0,18399,19.81
2023/01/07,14:00,4960,6189,734,0,67,796,46,0,148,5528,0,0,0,18469,20.9
2023/01/07,15:00,4961,6245,1399,0,67,537,82,-186,0,5220,0,0,0,18324,19.73
2023/01/07,16:00,4961,7998,1894,0,67,150,90,-3,0,3382,0,0,0,18539,21.69
2023/01/07,17:00,4960,9152,2049,0,67,0,92,0,206,2454,0,0,0,18982,23.92
2023/01/07,18:00,4960,9050,2033,0,67,0,86,0,140,2609,0,0,0,18946,24.15
2023/01/07,19:00,4960,9018,1756,0,67,0,110,0,136,2514,0,0,0,18562,22.99
2023/01/07,20:00,4960,9139,1419,0,67,0,97,0,135,2216,0,0,0,18033,23.26
2023/01/07,21:00,4960,8576,951,0,67,0,112,0,173,2508,0,0,0,17347,22.62
2023/01/07,22:00,4961,8003,703,0,67,0,106,0,217,2465,0,0,0,16522,21.78
2023/01/07,23:00,4961,7149,581,0,67,0,109,0,140,2672,0,0,0,15679,19.91
2023/01/08,00:00,4962,6444,476,0,67,0,113,0,153,2438,0,0,0,14653,22.38
2023/01/08,01:00,4962,6642,429,0,67,0,113,0,128,1915,0,0,0,14256,20.68
2023/01/08,02:00,4962,6653,394,0,67,0,105,0,156,1962,0,0,0,14299,20.55
2023/01/08,03:00,4962,6766,387,0,67,0,97,0,204,1759,0,0,0,14242,21.09
2023/01/08,04:00,4962,6604,384,0,67,0,88,0,135,1767,0,0,0,14007,20
2023/01/08,05:00,4963,6474,385,0,67,0,92,0,137,1556,0,0,0,13675,19.78
2023/01/08,06:00,4961,6629,398,0,67,0,66,0,138,1699,0,0,0,13959,20.55
2023/01/08,07:00,4961,6738,559,0,67,106,68,0,242,2099,0,0,0,14840,21.2
2023/01/08,08:00,4961,5560,1134,0,67,875,58,0,49,3263,0,0,0,15969,18.79
2023/01/08,09:00,4961,5346,1200,0,67,1868,54,-757,0,3943,0,0,0,16682,17.95
2023/01/08,10:00,4960,4256,1095,0,67,2523,61,-1305,0,4761,0,0,0,16419,9.81
2023/01/08,11:00,4960,4444,630,0,67,3196,48,-2116,0,4663,0,0,0,15893,5
2023/01/08,12:00,4960,4743,552,0,67,3059,51,-2063,0,4251,0,0,0,15620,4.65
2023/01/08,13:00,4961,4629,579,0,67,2733,47,-2047,0,4229,0,0,0,15198,0.71
2023/01/08,14:00,4961,5355,658,0,67,1819,55,-1881,0,4046,0,0,0,15080,7.05
2023/01/08,15:00,4960,5445,943,0,67,880,55,-1426,0,4263,0,0,0,15188,18.96
2023/01/08,16:00,4961,5718,1848,0,67,207,41,-375,0,3237,0,0,0,15704,20.86
2023/01/08,17:00,4961,7289,2067,0,67,0,27,0,310,2316,0,0,0,17036,23.42
2023/01/08,18:00,4962,7545,2170,0,67,0,30,0,113,2590,0,0,0,17477,22.84
2023/01/08,19:00,4962,7498,2150,0,67,0,27,0,126,2563,0,0,0,17393,22.41
2023/01/08,20:00,4962,7969,1993,0,67,0,21,0,151,2036,0,0,0,17199,21.75
2023/01/08,21:00,4962,7741,1602,0,67,0,19,0,214,2039,0,0,0,16643,21.74
2023/01/08,22:00,4962,7240,941,0,67,0,19,0,203,2281,0,0,0,15712,21.49
2023/01/08,23:00,4962,7314,693,0,67,0,21,0,133,1922,0,0,0,15112,19.53
2023/01/09,00:00,4962,6454,442,0,67,0,19,-2,0,2412,0,0,0,14353,20.39
2023/01/09,01:00,4962,7059,398,0,67,0,18,0,141,1404,0,0,0,14048,18.01
2023/01/09,02:00,4961,7216,375,0,67,0,16,0,127,1518,0,0,0,14280,20.32
2023/01/09,03:00,4961,7387,376,0,67,0,20,0,123,1401,0,0,0,14335,21.35
2023/01/09,04:00,4961,7287,375,0,67,0,21,0,128,1309,0,0,0,14148,21.5
2023/01/09,05:00,4961,6828,373,0,67,0,19,0,133,1644,0,0,0,14025,19.2
2023/01/09,06:00,4961,7536,387,0,67,0,21,0,130,1553,0,0,0,14655,20.44
2023/01/09,07:00,4961,7990,781,0,67,103,16,0,133,1783,0,0,0,15835,22.88
2023/01/09,08:00,4961,7699,1267,0,67,968,10,0,192,2255,0,0,0,17419,24.18
2023/01/09,09:00,4961,6300,1324,0,67,2287,5,-220,0,3528,0,0,0,18250,21.18
2023/01/09,10:00,4961,5949,677,0,67,3350,5,-919,0,3974,0,0,0,18063,18.29
2023/01/09,11:00,4962,5952,554,0,67,3998,6,-1241,0,3328,0,0,0,17625,13
2023/01/09,12:00,4961,5959,536,0,67,4080,7,-1197,0,2526,0,0,0,16938,6.5
2023/01/09,13:00,4961,6164,587,0,67,3627,8,-1510,0,2791,0,0,0,16695,13.68
2023/01/09,14:00,4961,6181,688,0,67,2603,12,-1428,0,3314,0,0,0,16397,17.58
2023/01/09,15:00,4961,6439,1125,0,67,1247,12,-581,0,2994,0,0,0,16264,20.72
2023/01/09,16:00,4961,7470,1812,0,67,243,7,0,112,2165,0,0,0,16837,22.62
2023/01/09,17:00,4961,8655,2110,0,67,0,2,0,126,2090,0,0,0,18011,24.15
2023/01/09,18:00,4961,8884,2123,0,67,0,2,0,121,2096,0,0,0,18253,24.54
2023/01/09,19:00,4961,8860,2118,0,67,0,2,0,64,1947,0,0,0,18019,24.46
2023/01/09,20:00,4961,8345,1935,0,67,0,4,0,99,2207,0,0,0,17619,23.54
2023/01/09,21:00,4961,7876,1593,0,67,0,11,0,126,2257,0,0,0,16891,21.95
2023/01/09,22:00,4961,7239,837,0,67,0,13,0,122,2482,0,0,0,15722,21.24
2023/01/09,23:00,4962,6970,662,0,67,0,37,-151,0,2346,0,0,0,14893,19.66
2023/01/10,00:00,4962,6779,487,0,67,0,77,-991,0,2422,0,0,0,13804,20.29
2023/01/10,01:00,4960,6745,488,0,67,0,120,-391,0,1628,0,0,0,13616,20
2023/01/10,02:00,4960,6677,454,0,67,0,132,0,115,1677,0,0,0,14083,20
2023/01/10,03:00,4960,6831,451,0,67,0,137,0,120,1863,0,0,0,14429,20
2023/01/10,04:00,4960,6906,448,0,67,0,130,0,131,1964,0,0,0,14607,19.91
2023/01/10,05:00,4961,7333,450,0,67,0,124,0,126,1934,0,0,0,14996,19.87
2023/01/10,06:00,4962,8865,544,0,67,0,127,0,169,1763,0,0,0,16498,20.75
2023/01/10,07:00,4962,10586,1002,0,67,95,127,0,172,1489,0,0,0,18500,22.45
2023/01/10,08:00,4961,10917,1664,0,67,875,105,0,228,1730,0,0,0,20547,23.02
2023/01/10,09:00,4961,9525,1932,0,67,1902,121,0,145,2927,0,0,0,21579,22.32
2023/01/10,10:00,4961,8443,1945,0,67,2533,117,-10,0,3228,0,0,0,21284,17.84
2023/01/10,11:00,4960,8909,1410,0,67,2511,127,0,145,2940,0,0,0,21071,18.7
2023/01/10,12:00,4961,8084,1074,0,67,2320,129,-24,0,3524,0,0,0,20135,14.87
2023/01/10,13:00,4961,8271,1100,0,67,2295,140,0,186,3573,0,0,0,20593,17.72
