,,Kyushu,,,,,,,,,,,,,,JEPX Day-Ahead Market Price
,,Nuclear,Thermal,Hydropower,Geothermal,Biomass,SolarPV,Wind,Pumped hydro(pump up),Pumped hydro(generate),Import,Export,SolarPV(curtailment),Wind(curtailment),Demand,Kyushu
2023/01/08,11:00,2999,2970,133,151,429,6119,13,-1726,0,0,-2236,565,6,8852,0.01
2023/01/08,12:00,2997,2983,143,151,429,5930,15,-1855,0,0,-2164,1148,13,8629,0.01
2023/01/08,13:00,2997,2949,136,151,429,5721,17,-1927,0,0,-2150,854,14,8323,0.01
2023/01/08,14:00,2997,3066,134,151,426,5290,21,-1899,0,0,-2156,138,9,8030,0.01
2023/01/08,15:00,2998,3914,135,150,475,3623,13,-1059,0,0,-2166,2,0,8083,5.01
2023/01/08,16:00,2999,6206,181,150,518,1360,8,-313,0,0,-2240,0,0,8869,20.86
2023/01/08,17:00,2995,7825,370,151,521,63,9,0,444,0,-2456,0,0,9922,23.42
2023/01/08,18:00,2995,8177,518,151,521,0,18,0,806,0,-2458,0,0,10728,22.84
2023/01/08,19:00,2994,8246,373,151,521,0,20,0,1014,0,-2508,0,0,10811,22.41
2023/01/08,20:00,3000,8253,285,151,519,0,27,0,899,0,-2460,0,0,10674,21.75
2023/01/08,21:00,2998,8271,212,151,519,0,22,0,556,0,-2398,0,0,10331,21.6
2023/01/08,22:00,2998,8203,149,151,520,0,31,0,155,0,-2256,0,0,9951,13.77
2023/01/08,23:00,2998,7820,145,151,521,0,40,0,0,0,-2178,0,0,9497,7.04
2023/01/09,00:00,2997,7356,140,151,521,0,41,0,0,0,-2096,0,0,9110,7.04
2023/01/09,01:00,2998,7396,140,151,520,0,35,0,0,0,-2088,0,0,9152,7.04
2023/01/09,02:00,2996,7843,173,151,520,0,21,0,0,0,-2110,0,0,9594,7.04
2023/01/09,03:00,2997,8118,264,151,520,0,20,0,18,0,-2140,0,0,9948,7.04
2023/01/09,04:00,2996,8156,301,151,521,0,16,0,77,0,-2128,0,0,10090,7.04
2023/01/09,05:00,2997,8216,225,151,518,0,18,0,0,0,-2076,0,0,10049,7.04
2023/01/09,06:00,2999,8279,194,151,517,0,25,0,89,0,-2070,0,0,10184,7.04
2023/01/09,07:00,2999,8338,215,151,518,101,30,0,548,0,-2160,0,0,10740,7.04
2023/01/09,08:00,2998,7865,157,151,513,1470,27,0,358,0,-2380,1,0,11159,17.13
2023/01/09,09:00,2998,5613,166,151,500,3459,15,0,0,0,-2444,2,0,10458,20.11
2023/01/09,10:00,3000,3655,130,150,438,5284,11,-621,0,0,-2348,2,0,9699,8.43
2023/01/09,11:00,2997,3257,131,150,422,6104,14,-1205,0,0,-2254,308,0,9616,0.01
2023/01/09,12:00,2998,3327,140,150,422,5756,35,-1354,0,0,-2198,766,0,9276,0.01
2023/01/09,13:00,2999,3745,135,149,421,5499,64,-1824,0,0,-2152,197,0,9036,0.01
2023/01/09,14:00,2998,4664,134,149,434,4362,86,-2054,0,0,-2170,1,0,8603,0.01
2023/01/09,15:00,2997,5836,138,149,500,2763,90,-1500,0,0,-2144,1,0,8829,7.93
2023/01/09,16:00,2997,7038,187,149,516,990,122,-478,0,0,-2020,0,0,9501,21.2
2023/01/09,17:00,2993,8514,279,149,516,44,128,0,179,0,-2378,0,0,10424,22.44
2023/01/09,18:00,2993,8614,557,149,517,0,141,0,196,0,-2216,0,0,10951,24.54
2023/01/09,19:00,2994,8685,434,149,519,0,129,0,274,0,-2412,0,0,10772,23.63
2023/01/09,20:00,2996,8748,266,149,517,0,139,0,175,0,-2482,0,0,10508,21.3
2023/01/09,21:00,2997,8430,195,149,517,0,139,0,7,0,-2390,0,0,10044,21.3
2023/01/09,22:00,2996,7720,152,149,516,0,137,0,0,0,-2250,0,0,9420,21.24
2023/01/09,23:00,2999,7115,131,149,515,0,141,0,0,0,-2162,0,0,8888,19.66
2023/01/10,00:00,2999,6522,135,149,516,0,161,0,0,0,-2046,0,0,8436,20.29
2023/01/10,01:00,2997,5788,144,149,517,0,165,0,0,0,-1294,0,0,8466,20
2023/01/10,02:00,2997,6739,134,149,515,0,157,0,0,0,-1756,0,0,8935,20
2023/01/10,03:00,2993,7589,168,149,520,0,153,0,0,0,-2116,0,0,9456,20
2023/01/10,04:00,3000,7850,178,150,518,0,159,0,0,0,-2134,0,0,9721,19.91
2023/01/10,05:00,3000,7976,177,150,518,0,170,0,0,0,-2068,0,0,9923,19.87
2023/01/10,06:00,2999,8390,273,150,516,1,167,0,0,0,-2066,0,0,10430,18.5
2023/01/10,07:00,3000,8745,399,150,515,84,164,0,215,0,-2160,0,0,11112,22.45
2023/01/10,08:00,2999,8636,245,150,510,1281,167,0,574,0,-3044,1,0,11518,23.02
2023/01/10,09:00,3002,6924,178,150,508,3172,153,0,14,0,-3114,1,0,10987,22.32
2023/01/10,10:00,3002,4605,145,150,493,5093,128,-186,0,0,-2988,2,0,10442,17.84
2023/01/10,11:00,2999,3814,132,150,431,6560,99,-1013,0,0,-2970,2,0,10202,13.35
2023/01/10,12:00,3000,3455,131,149,418,7197,63,-1851,0,0,-2826,2,0,9736,3.15
2023/01/10,13:00,3001,3958,143,150,458,6813,47,-1950,0,0,-2886,2,0,9734,10.61
2023/01/10,14:00,3000,4610,136,150,500,5655,37,-1609,0,0,-2900,2,0,9579,15.31
2023/01/10,15:00,2999,5787,132,150,510,3784,35,-828,0,0,-2838,1,0,9731,19.95
2023/01/10,16:00,2998,8024,178,149,507,1468,39,-136,0,0,-2786,0,0,10441,22.61
2023/01/10,17:00,2996,9242,341,150,511,73,31,0,470,0,-2800,0,0,11014,26
2023/01/10,18:00,2996,9295,569,150,514,0,34,0,826,0,-2752,0,0,11632,25.99
2023/01/10,19:00,2998,9293,537,150,514,0,43,0,724,0,-2796,0,0,11463,24.37
