,,Shikoku,,,,,,,,,,,,,,JEPX Day-Ahead Market Price
,,Nuclear,Thermal,Hydropower,Geothermal,Biomass,SolarPV,Wind,Pumped hydro(pump up),Pumped hydro(generate),Import,Export,SolarPV(curtailment),Wind(curtailment),Demand,Shikoku
2023/01/06,09:00,880,3260,80,0,100,1080,20,0,0,1180,0,0,0,4240,22.76
2023/01/06,10:00,880,3070,90,0,100,1440,10,0,0,1590,0,0,0,4000,22.29
2023/01/06,11:00,880,3000,90,0,100,1680,10,0,30,1810,0,0,0,3920,19.62
2023/01/06,12:00,880,2990,100,0,110,1650,20,0,290,1810,0,0,0,3650,16.42
2023/01/06,13:00,880,3060,90,0,120,1540,20,0,30,1960,0,0,0,3720,21.58
2023/01/06,14:00,880,3150,100,0,130,1160,20,0,0,1730,0,0,0,3710,22.56
2023/01/06,15:00,880,3170,110,0,140,640,10,0,0,1210,0,0,0,3740,23.01
2023/01/06,16:00,880,3360,170,0,150,150,10,0,0,950,0,0,0,3770,25.35
2023/01/06,17:00,880,3280,330,0,150,0,10,0,20,780,0,0,0,3890,26.17
2023/01/06,18:00,880,3210,320,0,160,0,10,0,300,950,0,0,0,3930,26
2023/01/06,19:00,880,3180,250,0,160,0,0,0,300,960,0,0,0,3810,25.36
2023/01/06,20:00,880,3160,130,0,170,0,10,0,10,670,0,0,0,3690,23.77
2023/01/06,21:00,880,3240,60,0,170,0,10,0,0,840,0,0,0,3520,23.32
2023/01/06,22:00,880,3290,50,0,170,0,10,0,0,1110,0,0,0,3290,21.9
2023/01/06,23:00,880,3090,50,0,170,0,10,0,0,980,0,0,0,3220,17.82
2023/01/07,00:00,880,3110,50,0,170,0,10,0,0,1070,0,0,0,3150,21.8
2023/01/07,01:00,880,3180,40,0,170,0,10,0,0,1070,0,0,0,3210,20.5
2023/01/07,02:00,880,3280,40,0,170,0,0,0,0,1010,0,0,0,3360,21.09
2023/01/07,03:00,880,3400,50,0,170,0,0,0,0,1050,0,0,0,3450,20.65
2023/01/07,04:00,880,3310,40,0,170,0,10,0,0,960,0,0,0,3450,21.09
2023/01/07,05:00,880,3200,40,0,170,0,10,0,0,930,0,0,0,3370,19.97
2023/01/07,06:00,880,3180,100,0,170,0,10,0,0,1030,0,0,0,3310,19.91
2023/01/07,07:00,880,3070,130,0,170,40,30,0,0,900,0,0,0,3420,22.66
2023/01/07,08:00,880,3210,130,0,170,260,80,0,10,890,0,0,0,3850,22.52
2023/01/07,09:00,880,3330,120,0,170,470,130,0,10,1180,0,0,0,3930,22.2
2023/01/07,10:00,880,2980,80,0,170,710,140,0,0,1150,0,0,0,3810,20.53
2023/01/07,11:00,880,2870,80,0,170,830,150,0,0,1350,0,0,0,3630,19.83
2023/01/07,12:00,880,2950,90,0,170,1070,160,0,0,1770,0,0,0,3550,17.88
2023/01/07,13:00,880,2960,70,0,170,760,160,0,0,1480,0,0,0,3520,18.12
2023/01/07,14:00,880,2940,60,0,180,660,170,0,0,1330,0,0,0,3560,20.9
