,,Hokkaido,,,,,,,,,,,,,,JEPX Day-Ahead Market Price
,,Nuclear,Thermal,Hydropower,Geothermal,Biomass,SolarPV,Wind,Pumped hydro(pump up),Pumped hydro(generate),Import,Export,SolarPV(curtailment),Wind(curtailment),Demand,Hokkaido
2023/01/06,00:00,0,2841,413,11,202,0,314,0,0,323,0,0,0,4104,21.21
2023/01/06,01:00,0,2897,423,11,202,0,296,0,0,362,0,0,0,4191,19.64
2023/01/06,02:00,0,3036,439,11,202,0,278,0,0,332,0,0,0,4298,19.39
2023/01/06,03:00,0,3099,434,10,202,0,258,0,22,335,0,0,0,4360,21.05
2023/01/06,04:00,0,3151,423,11,202,0,226,0,59,312,0,0,0,4384,21.27
2023/01/06,05:00,0,3206,490,11,201,0,196,0,58,207,0,0,0,4368,21.27
2023/01/06,06:00,0,3423,533,11,201,0,188,0,70,0,-23,0,0,4403,21.14
2023/01/06,07:00,0,3374,619,12,201,72,163,0,12,0,-145,0,0,4309,24.13
2023/01/06,08:00,0,3249,512,12,201,411,148,0,0,0,-114,0,0,4419,24.76
2023/01/06,09:00,0,3025,406,12,209,734,142,0,0,0,-182,0,0,4346,22.76
2023/01/06,10:00,0,2803,331,12,214,907,153,0,0,0,-262,0,0,4158,22.29
2023/01/06,11:00,0,3042,308,11,214,982,177,0,0,0,-530,0,0,4204,19.62
2023/01/06,12:00,0,2875,282,13,216,860,183,0,0,0,-403,0,0,4026,16.42
2023/01/06,13:00,0,3016,293,11,216,680,167,0,0,0,-347,0,0,4035,18.83
2023/01/06,14:00,0,3188,343,12,216,412,163,0,0,0,-204,0,0,4129,22.56
2023/01/06,15:00,0,3231,432,12,215,106,154,0,38,109,0,0,0,4297,23.56
2023/01/06,16:00,0,3165,640,12,215,1,162,0,111,187,0,0,0,4492,24.82
2023/01/06,17:00,0,3327,734,12,208,0,150,0,281,0,-197,0,0,4514,25.64
2023/01/06,18:00,0,3164,741,12,200,0,145,0,243,0,-82,0,0,4423,26
2023/01/06,19:00,0,3046,739,12,201,0,149,0,89,55,0,0,0,4290,25.36
2023/01/06,20:00,0,3207,512,12,200,0,131,0,67,42,0,0,0,4170,23.77
2023/01/06,21:00,0,3065,498,12,199,0,134,0,5,115,0,0,0,4028,23.32
2023/01/06,22:00,0,2977,444,12,200,0,124,0,1,98,0,0,0,3856,21.9
2023/01/06,23:00,0,2955,420,12,201,0,106,0,2,260,0,0,0,3955,17.82
2023/01/07,00:00,0,2805,413,11,201,0,121,0,0,366,0,0,0,3917,24.09
2023/01/07,01:00,0,2912,436,11,201,0,118,0,0,368,0,0,0,4045,20.78
2023/01/07,02:00,0,3018,455,10,201,0,93,0,0,418,0,0,0,4195,21.09
2023/01/07,03:00,0,3129,495,11,201,0,68,0,0,423,0,0,0,4327,20.65
2023/01/07,04:00,0,3059,526,11,201,0,60,0,0,500,0,0,0,4357,21.09
2023/01/07,05:00,0,3042,534,11,201,0,41,0,0,472,0,0,0,4300,19.97
2023/01/07,06:00,0,3117,539,11,200,0,28,0,0,379,0,0,0,4274,19.91
2023/01/07,07:00,0,3072,559,12,200,92,24,0,0,207,0,0,0,4166,22.66
2023/01/07,08:00,0,2944,505,12,202,497,24,0,0,126,0,0,0,4311,22.52
2023/01/07,09:00,0,2713,406,12,204,827,33,0,0,50,0,0,0,4245,22.2
2023/01/07,10:00,0,2458,303,12,208,1018,24,0,0,0,-5,0,0,4018,20.53
2023/01/07,11:00,0,2108,272,12,212,1099,22,0,0,104,0,0,0,3828,20.57
2023/01/07,12:00,0,2083,251,11,216,1038,21,0,0,0,-18,0,0,3602,18.18
2023/01/07,13:00,0,2257,259,12,217,848,23,0,0,1,0,0,0,3617,19.81
2023/01/07,14:00,0,2721,295,12,214,498,25,0,0,0,-10,0,0,3756,20.9
2023/01/07,15:00,0,2934,395,12,213,126,30,0,8,323,0,0,0,4041,19.8
2023/01/07,16:00,0,3137,581,12,214,0,22,0,99,144,0,0,0,4209,21.69
2023/01/07,17:00,0,3253,649,12,217,0,17,0,157,26,0,0,0,4332,23.92
2023/01/07,18:00,0,3330,651,12,218,0,18,0,154,0,-66,0,0,4317,24.15
2023/01/07,19:00,0,3249,651,12,219,0,20,0,85,0,-17,0,0,4219,22.99
2023/01/07,20:00,0,3193,530,11,221,0,29,0,70,53,0,0,0,4106,24.22
2023/01/07,21:00,0,2922,445,12,229,0,29,0,51,343,0,0,0,4032,22.62
2023/01/07,22:00,0,2864,409,12,236,0,31,0,0,342,0,0,0,3894,21.78
2023/01/07,23:00,0,2966,389,12,239,0,31,0,25,378,0,0,0,4040,20.18
2023/01/08,00:00,0,3021,395,11,240,0,31,0,1,330,0,0,0,4029,22.38
2023/01/08,01:00,0,3189,411,10,241,0,38,0,10,282,0,0,0,4181,20.68
2023/01/08,02:00,0,3219,402,11,241,0,48,0,13,366,0,0,0,4300,20.55
2023/01/08,03:00,0,3307,392,11,241,0,48,0,11,442,0,0,0,4451,21.09
2023/01/08,04:00,0,3318,405,11,242,0,46,0,19,458,0,0,0,4498,20
2023/01/08,05:00,0,3215,399,11,240,0,49,0,18,437,0,0,0,4369,19.81
2023/01/08,06:00,0,3179,375,12,242,0,56,0,21,424,0,0,0,4309,20.55
2023/01/08,07:00,0,2913,422,12,243,92,55,0,3,338,0,0,0,4077,21.2
2023/01/08,08:00,0,2718,369,12,242,457,47,0,0,166,0,0,0,4010,18.79
2023/01/08,09:00,0,2658,335,11,242,771,35,0,0,0,-163,0,0,3888,17.01
2023/01/08,10:00,0,2221,263,12,246,1047,33,-65,0,0,-74,0,0,3682,9.81
2023/01/08,11:00,0,2036,259,12,246,1132,34,-205,0,13,0,0,0,3526,5
2023/01/08,12:00,0,1840,251,12,243,1059,45,-324,0,279,0,0,0,3405,4.65
2023/01/08,13:00,0,2036,270,12,245,845,51,-312,0,247,0,0,0,3393,0.71
2023/01/08,14:00,0,2261,291,12,246,522,47,-216,0,299,0,0,0,3460,7.05
2023/01/08,15:00,0,2571,392,11,246,129,49,0,7,336,0,0,0,3741,18.96
2023/01/08,16:00,0,3050,558,12,247,0,43,0,99,0,-11,0,0,3998,19.93
2023/01/08,17:00,0,3235,625,12,247,0,34,0,124,0,-72,0,0,4205,23.42
2023/01/08,18:00,0,3180,613,12,243,0,35,0,157,0,-11,0,0,4230,22.84
2023/01/08,19:00,0,3161,613,12,233,0,36,0,150,0,-33,0,0,4171,22.41
2023/01/08,20:00,0,3149,486,11,235,0,30,0,73,134,0,0,0,4118,22.85
2023/01/08,21:00,0,3001,405,12,234,0,27,0,8,359,0,0,0,4046,24.09
2023/01/08,22:00,0,2835,381,12,235,0,25,0,2,367,0,0,0,3856,21.49
2023/01/08,23:00,0,2884,372,12,236,0,43,0,10,408,0,0,0,3964,19.76
2023/01/09,00:00,0,2948,374,11,238,0,72,0,0,261,0,0,0,3904,20.39
2023/01/09,01:00,0,2943,397,10,241,0,87,0,0,350,0,0,0,4029,18.2
2023/01/09,02:00,0,3190,409,11,244,0,110,0,0,214,0,0,0,4177,20.32
2023/01/09,03:00,0,3234,419,11,245,0,136,0,0,255,0,0,0,4299,20
2023/01/09,04:00,0,3289,442,11,246,0,140,0,59,202,0,0,0,4389,21.5
2023/01/09,05:00,0,3281,454,11,248,0,148,0,110,49,0,0,0,4301,19.2
2023/01/09,06:00,0,3383,454,10,248,0,140,0,66,0,-67,0,0,4234,21.05
2023/01/09,07:00,0,3344,460,12,249,55,139,0,61,0,-268,0,0,4051,24.73
2023/01/09,08:00,0,3223,407,12,254,327,129,0,30,0,-248,0,0,4134,24.18
2023/01/09,09:00,0,2914,337,12,258,562,108,0,0,0,-105,0,0,4084,21.18
2023/01/09,10:00,0,2483,272,12,258,814,105,-81,0,23,0,0,0,3886,19.06
2023/01/09,11:00,0,2008,265,12,258,913,115,-234,0,351,0,0,0,3688,13
2023/01/09,12:00,0,2111,246,12,259,882,115,-379,0,350,0,0,0,3596,6.5
